,smiles
0,Cc1ccc(C(=O)N2CCCC(C)(c3nc(C)no3)C2)c(O)c1C
1,CCCCOc1ccc(NC(=O)c2ccc(C(C)=O)cc2)cc1
2,CN(C)c1ncc(C(=O)NCCN2CCc3ccccc32)c(N)n1
3,Cc1ccc(-c2nc(CN(C)CC(=O)c3ccc(F)cc3)no2)cc1
4,N#Cc1ccc(NC(=O)c2cccc(NC(=O)C3CC3)c2)cc1
5,Cc1cc(CNC(=O)c2cnc3onc(C)c3c2)c(C)n1C(C)C
6,CC(C)N1CC(C(=O)Nc2ccc3c(c2)OCO3)CC1=O
7,Cn1nccc1C(=O)N1CCC(c2nnc(-c3ccncc3)o2)CC1
8,COc1ccc(CNC(=O)C2CC=CCC2C)cc1
9,CC(=O)NC(c1ccccc1)N1CCN(Cc2cc(C)on2)CC1
10,Cc1cccc(N2CCN(C(=O)C3CCCCC3)CC2)c1C(N)=O
11,Cc1ccc(C(=O)CSc2nccn2-c2ccncc2)cc1
12,COc1cccc(OC)c1-c1cc(C#N)nn1CCO
13,COC(=O)c1csc(NC(=O)Cc2coc3cc(OC)ccc23)c1
14,CNC(=O)C1CCCN(C(=O)c2cc(OC)ccc2Br)C1
15,Cc1nnc(SC(C)C(=O)Nc2cccc(C#N)c2)n(N)c1=O
16,Cc1noc(C)c1CC(=O)Nc1c(-c2ccccc2)noc1C
17,O=C1CC(C(=O)Nc2cccc(OC(F)F)c2)c2ccc(F)cc2N1
18,CCOc1ccc(C(F)(F)F)cc1NC(=O)Cn1c(C)csc1=O
19,CN(C)C(=O)CN(C)S(=O)(=O)c1cc(Br)cs1
20,CCCC1(C)Nc2cc(C(F)(F)F)ccc2C1N
21,Cc1nc(C)c(C(=O)Nc2ccccc2OCCCO)s1
22,Cc1cc(NC(=O)CCC2CCCO2)ccc1C(=O)OC(C)(C)C
23,CCCNC(=O)C1CCN(C(=O)c2cc(C)ccc2F)CC1
24,CC(C)Oc1cccc2c1cnn2CC(=O)N1CCCCC1
25,Cc1ccc(CNC2(O)C(=O)Nc3ccccc32)c(OC(C)(C)C)c1
26,O=C(NC1CCC2(CC1)OCCO2)c1ccccc1Cl
27,Cc1c(NC(=O)CCC2CCCCC2)ccc(=O)n1N
28,N#Cc1ccc(OC(=O)CCC2(O)CCCC2)cc1
29,COc1ccc(NC(=O)NC(C)c2cc(C)oc2C)cc1OC
30,CCN(CC(=O)N(C)C)C(=O)C1COc2ccc(F)cc2C1
31,CCCOC(=O)Nc1ccc(CN2CCCC2=O)cc1
32,Cc1ccc(C=CCCN2CCN(C(=O)CC(C)C)CC2)cc1
33,CN(C)c1ccc(Cl)c(C(=O)NCc2ncc[nH]2)n1
34,CC(C)CNC(=O)c1cccc(CNC(=O)NCc2ccccn2)c1
35,CC(C(=O)Nc1ccccc1)N(1)S(=O)(=O)Cc1ccccc1
36,O=C1CN(c2ncnc3sccc23)CC1c1ccccc1Cl
37,Cc1cc(N(C)CC(=O)NCC(C)C)n2ncnc2n1
38,CC(C)CC(C(=O)N(C)CC(C)(C)c1ccccc1F)N1CCCC1=O
39,CCN(Cc1cccc(NCC(=O)NC(C)(C)C)c1)C(C)=O
40,CSc1ncnc2c1CCN(C(=O)c1ccc3ccccc3n1)CC2
41,CCOc1ccc(CC(=O)Nc2ccc(NC(C)=O)cc2)cc1
42,CCCOc1cccc2c1CCNC2c1cc[nH]c1C
43,CNC(=O)c1ccc(CN(C)C(=O)Cn2ccc(=O)[nH]c2=O)cc1
44,CC(C)C1=C(CS(=O)(=O)c2ccccc2)NC(=O)NC1
45,CCCc1cc(C(=O)Nc2cc(-c3ccncc3)n[nH]2)[nH]n1
46,CCc1ccc(S(=O)(=O)NCCc2nc3ccccc3s2)cc1
47,Cc1noc(C)c1CC(=O)NCc1cn2ccccc2n1
48,COC(=O)c1sc2ccccc2c1CSc1nc(C)cc(N)n1
49,CS(=O)(=O)N1CCC(C(=O)Nc2ccccc2)(c2ccccc2)C1
50,OCC(O)Cn1nc(-c2ccc(F)cc2)c2c1CCCC2
51,COc1ccc(N)c2c1OC(c1ccc(S(C)(=O)=O)cc1)CC2=O
52,O=C(Nc1ccc(F)cc1)C1Cc2cc(F)ccc2O1
53,NS(=O)(=O)c1ccc(NC(=O)c2cccc(-c3ccoc3)c2)cc1
54,C=CCCCN(C)S(=O)(=O)c1cc(F)c(C)c(F)c1
55,O=C(CCc1ccc(Br)cc1)NCC(=O)N1CCCC1
56,O=C(c1coc2ccc(F)cc2c1=O)N1CCOCC1
57,Cc1noc(C)c1COC(=O)c1cccc(OCc2ccco2)c1
58,O=C(NCc1nc(-c2cccs2)n[nH]1)Nc1c(F)cccc1F
59,CC(C)n1nccc1NC(=O)N1CCN(Cc2ccon2)CC1
60,CCN1CCN(C(=O)CC2Oc3ccc(C(C)=O)cc3NC2=O)CC1
61,COc1ccc(CCC(=O)NC(C)C(=O)N2CCCC2)cc1C
62,CN(C)C(=O)CSc1nc2cnn(C)c2c(=O)n1-c1ccccc1
63,CC(c1ccccc1)N(C)C(=O)c1ccc(S(=O)(=O)N(C)C)cc1
64,CCCCC(=O)Nc1cccc(CNC(=O)c2ccco2)c1
65,Cc1nn(C)c(C)c1C(=O)Nc1cccc(-c2nc(C)c(C)o2)c1
66,Cc1cccc(C)c1NC(=O)CCc1cnn(C)c1
67,COCCN(C(=O)NC(C)Cc1ccc(OC)cc1)C1CC1
68,COc1ccc(C(=O)NCCNC(=O)C2CCC2)cc1
69,COc1ccc(NC(=O)c2c(C)oc3ncn(C)c(=O)c23)cc1
70,O=C1c2ccccc2-n2cc(C(=O)N3CCc4ccccc43)nc21
