,smiles
0,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
1,CC=CC=CC=CC=CC=CC=CC=CC=CC(=O)C=CCC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
2,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
3,C=CC=CC=CC=CC(C)=CC=COC(=O)OCCCCCC[SH]1(=C)CCSCCSCCSCCSCCSCCSCCSCCSCC1
4,C=S1(CC=O)(OC=C(O)C=C(O)COCOCOC=CO)CCSCCSCCSCCSCCSCCSCCSCCSCC1
5,O=CS1(O)CCSCCSCCSCCSCCSCCSCCSCCSCC1
6,C=C(C=O)C=CC=CC=CC(=O)CCCCCC[SH]1(=C)CCSCCSCCSCCSCCSCCSCCSCCSCC1
7,C=S1(CC=O)(OC=C(O)C(O)COCOC=COCCC)CCSCCSCCSCCSCCSCCSCCSCCSCC1
8,C=CC=CC=CC=CC(C)=CC=COC(=O)CCCCCCC[SH]1(=C)CCSCCSCCSCCSCCSCCSCCSCCSCC1
9,CSC=CC(C)=CC=CC=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
10,O=COO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
11,CSC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
12,C=CC=CC=CC=CC(O)=CC=COC(=O)OCCCCCC[SH]1(=C)CCSCCSCCSCCSCCSCCSCCSCCSCC1
13,C=CC(=O)C(S)=COC(=O)CCCCCC[SH]1(=C)CCSCCSCCSCCSCCSCCSCCSCCSCC1
14,C=CC=CC=COCC(F)=COC(=O)OCCCCCC[SH]1(=C)CCSCCSCCSCCSCCSCCSCCSCCSCC1
15,C=[SH]1(CCCCCCC(=O)C=CC=CC=CC=CC=CC=O)CCSCCSCCSCCSCCSCCSCCSCCSCC1
16,C(C=CC=CC=CC=CC=Cc1ccccc1)=CC=CC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
17,C=[SH]1(CCCCCCC(=O)C=CC=CC=CC=CC=CC=CC)CCSCCSCCSCCSCCSCCSCCSCCSCC1
18,C=[SH]1(CCCCCCCC(=O)C=C(C)C=CC=CC=CC=O)CCSCCSCCSCCSCCSCCSCCSCCSCC1
19,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
20,C=S1(CC=O)(OC=C(O)C=C(O)COCOCOC)CCSCCSCCSCCSCCSCCSCCSCCSCC1
21,CC=CCC1C=CC=CC1=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
22,O=C(C=CC=CC=CC=CC=CC=CC=CO)C=CCC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
23,C=[SH]1(CCCCCCOC(C=O)CC=CC=CC=CC=CC)CCSCCSCCSCCSCCSCCSCCSCCSCC1
24,CC=CC=CSC1C=CC=CC1=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
25,C=S1(CC=O)(OC=C(O)C(O)COCOC=COC=CO)CCSCCSCCSCCSCCSCCSCCSCCSCC1
26,C=CC=CC=CC(O)=CC=COC(=O)OCCCCCC[SH]1(=C)CCSCCSCCSCCSCCSCCSCCSCCSCC1
27,CC=CC1C=CC=CC1=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
28,CC1C=CC=CC1=CC=CC=CC=CC=CC=CC=CC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
29,C(=CC=CC=CC=C1C=CC=CC1)C=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
30,CCC(O)=CC=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
31,C=CCOCOCOCC(O)=CC(O)=COS1(=C)(CC=O)CCSCCSCCSCCSCCSCCSCCSCCSCC1
32,C=CCCOCOC=COCOCC(O)=COS1(=C)(CC=O)CCSCCSCCSCCSCCSCCSCCSCCSCC1
33,C=[SH]1(CCCCCCCC(=O)C=C(C)C=CC=CC=CC=O)CCSCCSCCSCCSCCSCCSCCSCCSCC1
34,CCC=CC=CC=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
35,C=C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
36,C=[SH]1(CCCCCCC(=O)OC=C(S)C(=O)OC)CCSCCSCCSCCSCCSCCSCCSCCSCC1
37,C=COCOCOCC(O)=CC(O)=COS1(=C)(CC=O)CCSCCSCCSCCSCCSCCSCCSCCSCC1
38,CC1C=CC=CC1=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
39,CCC(=CC=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1)CC
40,CCC=CC=CC=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
41,C=S1(CC=O)(OC=C(O)C(O)COCOC=COC)CCSCCSCCSCCSCCSCCSCCSCCSCC1
42,C=CCCCOCOC=COCOCC(O)=COS1(=C)(CC=O)CCSCCSCCSCCSCCSCCSCCSCCSCC1
43,C=CC1C=CC=CC1=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
44,CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
45,C=CC=CC=CC=CC=CC=CC=CC=CC=CC(=O)CCCCCC[SH]1(=C)CCSCCSCCSCCSCCSCCSCCSCCSCC1
46,COC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CO[SH]1CCSCCSCCSCCSCCSCCSCCSCCSCC1
47,C=CC(C)=CC=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
48,C=CC=CC=CC=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
49,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=C(C)C)C1
50,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC=C(C)OC)C1
51,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)OC=CC=CC=CC=CC(=O)N=O)C1
52,COCCCCC(=O)N1CCCCN(C(=O)CCCCCC(C)CC=C(C)Cl)C1
53,C=CC=CC(C)=CC=CC=CC=COC(C)=CCC(C)CCCCCC(=O)N1CCCCN(C(=O)CCCCOC)C1
