,smiles
0,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1OC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C
1,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1OC=CC=CCC=CC(=O)C=CC=CC=CC=CC=CC=CC=CC=CC
2,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1OC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C
3,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCOC(=O)OC=CC=C(C)C=CC=CC=CC=C
4,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)(CC=O)OC=C(O)C=C(O)COCOCOC=CO
5,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(O)C=O
7,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCC(=O)C=CC=CC=CC(=C)C(=O)
8,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)(CC=O)OC=C(O)C(O)COCOC=COCCC
10,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCCC(=O)OC=CC=C(C)C=CC=CC=CC=C
11,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1OC=CC=CC=CCC=CC=CC=CC=CC=CC=CC=C(C)C=CSC
12,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1OOC=O
13,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1OC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CSC
14,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCOC(=O)OC=CC=C(O)C=CC=CC=CC=C
17,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCC(=O)OC=C(S)C(=O)C=C
18,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCOC(=O)OC=C(F)COC=CC=CC=C
20,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCC(=O)C=CC=CC=CC=CC=CC=O
21,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1OC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC2=CC=CC=C2
22,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCC(=O)C=CC=CC=CC=CC=CC=CC
23,C1CSCCSCCSCCSCCSCCSCCSCCSCCS1(=C)CCCCCCCC(=O)C=C(C)C=CC=CC=C(C=O)
